Block,Depth,Width,FLOPs,accuracy_imagenet5,accuracy_weather,accuracy_bloodcell
4,9,1,368392005.0,0.8751928955316544,0.4930875599384308,0.9817864298820496
4,9,2,1390485189.0,0.8780864179134369,0.4930875599384308,0.9950099736452103
4,9,3,3081296453.0,0.8869598805904388,0.5264977067708969,0.9957584738731384
4,9,4,5440825797.0,0.8881172984838486,0.6463133692741394,0.9958832263946533
4,9,5,8469073221.0,0.9074074029922485,0.8214285671710968,0.9986277371644974
4,9,6,12166038725.0,0.9029706716537476,0.6509216576814651,0.9975049942731857
5,1,1,95395653.0,0.8840663731098175,0.8709677457809448,0.9960079938173294
5,1,2,313413317.0,0.888888880610466,0.8755760192871094,0.9991267323493958
5,1,3,669069893.0,0.8871527910232544,0.8744239658117294,0.9997504949569702
5,1,4,1162365381.0,0.887924388051033,0.8790322542190552,0.9982534795999527
5,1,5,1793299781.0,0.897762343287468,0.8790322542190552,0.9986277520656586
5,1,6,2561873093.0,0.8939043283462524,0.8882488459348679,0.999126747250557
5,2,1,141878597.0,0.8859953731298447,0.8755760490894318,0.9978792369365692
5,2,2,497389253.0,0.8956404328346252,0.8963133692741394,0.9995009899139404
5,2,3,1081548869.0,0.8902391940355301,0.8744239509105682,0.9992514848709106
5,2,4,1894357445.0,0.8944830298423767,0.8928571343421936,0.9993762373924255
5,2,5,2935814981.0,0.8969907462596893,0.8974654376506805,0.9995009899139404
5,2,6,4205921477.0,0.8944830149412155,0.8894009292125702,0.9995009899139404
5,3,1,188361541.0,0.8931327164173126,0.8859446942806244,0.9986277371644974
5,3,2,681365189.0,0.895061731338501,0.8767281025648117,0.9995009899139404
5,3,3,1494027845.0,0.9077932089567184,0.8836405575275421,0.9993762373924255
5,3,4,2626349509.0,0.8981481492519379,0.8824884742498398,0.9992514997720718
5,3,5,4078330181.0,0.9058641940355301,0.8905529975891113,0.9997504949569702
5,3,6,5849969861.0,0.8937114179134369,0.8870967775583267,0.9998752474784851
5,4,1,234844485.0,0.8832947462797165,0.8479262441396713,0.9936377108097076
5,4,2,865341125.0,0.9010416716337204,0.8767281174659729,0.9990019798278809
5,4,3,1906506821.0,0.8885030746459961,0.8732718974351883,0.9980040043592453
5,4,4,3358341573.0,0.895061731338501,0.8894008994102478,0.999126747250557
5,4,5,5220845381.0,0.904513880610466,0.8698156774044037,0.9985029846429825
5,4,6,7494018245.0,0.8977623581886292,0.8813364058732986,0.9993762373924255
5,5,1,281327429.0,0.8680555522441864,0,0.9827844351530075
5,5,2,1049317061.0,0.9029706865549088,0,0.9958832412958145
5,5,3,2318985797.0,0.8983410596847534,0,0.9971307516098022
5,5,4,4090333637.0,0.8885030895471573,0,0.9977545142173767
5,5,5,6363360581.0,0.9120370447635651,0.593317985534668,0.9980039894580841
5,5,6,9138066629.0,0.9095293283462524,0.8179723471403122,0.9970059841871262
5,6,1,327810373.0,0.8537808656692505,0.7822580486536026,0.9888972043991089
5,6,2,1233292997.0,0.8856095671653748,0.5184331834316254,0.9851546883583069
5,6,3,2731464773.0,0.8983410447835922,0.8202764838933945,0.9937624782323837
5,6,4,4822325701.0,0.9016203731298447,0.5046082884073257,0.9921407103538513
5,6,5,7505875781.0,0.8969907313585281,0.6186635941267014,0.9986277520656586
5,6,6,10782115013.0,0.9056712985038757,0.5472350418567657,0.9965069741010666
5,7,1,374293317.0,0.8564814925193787,0.7741935551166534,0.9744261503219604
5,7,2,1417268933.0,0.8858024626970291,0.49539171159267426,0.9902694523334503
5,7,3,3143943749.0,0.8854166716337204,0.4976958632469177,0.9978792518377304
5,7,4,5554317765.0,0.893325611948967,0.5092165917158127,0.9965069890022278
5,7,5,8648390981.0,0.9068287163972855,0.5241935551166534,0.9977544993162155
5,7,6,12426163397.0,0.897762343287468,0.4804147481918335,0.9978792369365692
5,8,1,420776261.0,0.8327546268701553,0.48156681656837463,0.9817864298820496
5,8,2,1601244869.0,0.8773148208856583,0.49193548411130905,0.9941367208957672
5,8,3,3556422725.0,0.8921682089567184,0.49193548411130905,0.9922654777765274
5,8,4,6286309829.0,0.8886959999799728,0.4965437799692154,0.9953842312097549
5,8,5,9790906181.0,0.8888888955116272,0.4896313324570656,0.996257483959198
5,8,6,14070211781.0,0.8983410596847534,0.5115207433700562,0.9976297467947006
5,9,1,467259205.0,0.8314043134450912,0.47811058908700943,0.9804141819477081
5,9,2,1785220805.0,0.8657407164573669,0.48502304404973984,0.9898952096700668
5,9,3,3968901701.0,0.8773148059844971,0.5264976918697357,0.9900199621915817
5,9,4,7018301893.0,0.8809799402952194,0.48847925662994385,0.9955089837312698
5,9,5,10933421381.0,0.8979552388191223,0.496543787419796,0.9951347261667252
5,9,6,15714260165.0,0.9087577164173126,0.4907834082841873,0.9967564940452576
6,1,1,122718021.0,0.8832947462797165,0.8663594424724579,0.9982534795999527
6,1,2,422584005.0,0.8802083283662796,0.8824884742498398,0.9988772422075272
6,1,3,914614853.0,0.8873456865549088,0.8859447091817856,0.9993762373924255
6,1,4,1598810565.0,0.8902391940355301,0.8951613008975983,0.9983782470226288
6,1,5,2475171141.0,0.8883101791143417,0.877880185842514,0.9990019798278809
6,1,6,3543696581.0,0.8975694477558136,0.888248860836029,0.9988772422075272
6,2,1,187583813.0,0.8788580298423767,0.8928571492433548,0.9991267323493958
6,2,2,680025797.0,0.8865740746259689,0.888248860836029,0.9996257424354553
6,2,3,1492342853.0,0.883487656712532,0.8905529975891113,1.0
6,2,4,2624534981.0,0.8921682089567184,0.8801843225955963,0.9996257424354553
6,2,5,4076602181.0,0.8937114179134369,0.8663594424724579,0.9997504949569702
6,2,6,5848544453.0,0.9060571044683456,0.8824884593486786,0.9995009899139404
6,3,1,252449605.0,0.884452149271965,0.8479262739419937,0.9975050091743469
6,3,2,937467589.0,0.884452149271965,0.8824884742498398,0.9985029846429825
6,3,3,2070070853.0,0.904513880610466,0.8548386991024017,0.9997504949569702
6,3,4,3650259397.0,0.8962191492319107,0.8732718825340271,0.9996257424354553
6,3,5,5678033221.0,0.8904320895671844,0.8744239658117294,0.9997504949569702
6,3,6,8153392325.0,0.9021990597248077,0.8605990707874298,0.9997504949569702
6,4,1,317315397.0,0.8763502985239029,0.6682027578353882,0.9903942197561264
6,4,2,1194909381.0,0.8912037014961243,0.510368674993515,0.9960079789161682
6,4,3,2647798853.0,0.8925540149211884,0.511520728468895,0.9978792369365692
6,4,4,4675983813.0,0.8952546268701553,0.49193548411130905,0.9987524896860123
6,4,5,7279464261.0,0.9047067910432816,0.6428571492433548,0.9987524747848511
6,4,6,10458240197.0,0.9047067910432816,0.4942396357655525,0.9992514997720718
6,5,1,382181189.0,0.8584104925394058,0.4861751198768616,0.9790419191122055
6,5,2,1452351173.0,0.8719135671854019,0.599078357219696,0.9895209670066833
6,5,3,3225526853.0,0.8746141940355301,0.48271889239549637,0.9968812316656113
6,5,4,5701708229.0,0.8948688209056854,0.48502303659915924,0.9995009899139404
6,5,5,8880895301.0,0.8950617164373398,0.496543787419796,0.996257483959198
6,5,6,12763088069.0,0.8867669701576233,0.4942396283149719,0.9977544993162155
6,6,1,447046981.0,0.8429784029722214,0.5161290392279625,0.9663173705339432
6,6,2,1709792965.0,0.8713348805904388,0.5057603716850281,0.9891467094421387
6,6,3,3803254853.0,0.882137343287468,0.4896313324570656,0.9936377108097076
6,6,4,6727432645.0,0.884452149271965,0.4838709682226181,0.9918912053108215
6,6,5,10482326341.0,0.8746141940355301,0.5000000149011612,0.9947604835033417
6,6,6,15067935941.0,0.8838734477758408,0.4930875599384308,0.9982534945011139
6,7,1,511912773.0,0.8240740746259689,0.47811059653759,0.9219062030315399
6,7,2,1967234757.0,0.8503086417913437,0.6313364058732986,0.9846556931734085
6,7,3,4380982853.0,0.8815586417913437,0.6405529975891113,0.9857784360647202
6,7,4,7753157061.0,0.8526234477758408,0.4930875599384308,0.9651945978403091
6,7,6,17372783813.0,0.874228373169899,0.627880185842514,0.7554890215396881
6,8,1,576778565.0,0.7166280895471573,0.4907834082841873,0.2460079863667488
6,8,2,2224676549.0,0.8356481343507767,0.49193548411130905,0.7388972193002701
6,8,3,4958710853.0,0.8512731492519379,0.4907834082841873,0.4617015942931175
6,9,1,641644357.0,0.742862656712532,0.49539171159267426,0.2502495013177395
6,9,2,2482118341.0,0.7586805522441864,0.48847925662994385,0.9826596826314926
6,9,3,5536438853.0,0.6873071044683456,0.4930875599384308,0.749001994729042
6,9,4,9804605893.0,0.7964891940355301,0.5622119754552841,0.248128741979599
6,9,5,15286619461.0,0.8443287014961243,0.4930875599384308,0.9825349301099777
